izteiksme, izteiciens, teiciens|expression
izpildvara|executive
ainava (spectacular views of mountain ...)|scenery
vēlēšanas|election
sūdzēties (he ... about the noises), želoties, gausties, nāc-lidmašīna!|complain
apmēram, aptuveni (There are ... 350 students in high school)|approximately
pilsonis|citizen
pieskati divi vārdi, pirtmais ir look|look after
viedoklis, domas, uzskats|opinion
protams, noteikti, bez šaubām|certainly
plaisa, sprauga, pārtraukums, pārrāvums, rubs|gap
piedalīties, ņemt dalību divi vārdi|take part
